epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,23255.1,2.55054,2.44376,1.56301,0.99215,0.40981,0.41514,0.39263,0.19708,0.38313,0.39417,0.37526,0.17728,2.41514,2.54304,1.58638,1.00195,0.0009161,0.0009161,0.0009161
93,23505.3,2.54224,2.44533,1.55196,1.00304,0.42213,0.40965,0.3862,0.19433,0.40082,0.38803,0.36642,0.17592,2.42968,2.52506,1.5721,0.99976,0.000907848,0.000907848,0.000907848
94,23760.1,2.54808,2.44917,1.54127,0.99672,0.45232,0.40902,0.40146,0.19608,0.39972,0.38875,0.37731,0.17624,2.41906,2.51714,1.58266,1.00107,0.000899597,0.000899597,0.000899597
95,24015.1,2.52326,2.41341,1.54793,0.99057,0.45604,0.42237,0.40523,0.2001,0.4194,0.407,0.38269,0.18491,2.41667,2.52919,1.55565,1.00433,0.000891345,0.000891345,0.000891345
96,24270.1,2.54408,2.42229,1.5525,0.99709,0.44122,0.39535,0.39114,0.19429,0.40572,0.3671,0.36107,0.16829,2.4173,2.51819,1.59314,0.98652,0.000883093,0.000883093,0.000883093
97,24524.2,2.54348,2.44145,1.56693,0.9949,0.46712,0.40701,0.39273,0.20008,0.43705,0.40168,0.3902,0.18618,2.43365,2.52448,1.5982,1.00931,0.000874842,0.000874842,0.000874842
98,24773.9,2.51926,2.42252,1.53987,0.99067,0.45556,0.4188,0.39542,0.20101,0.42634,0.39373,0.37986,0.18599,2.40582,2.51421,1.56328,1.002,0.00086659,0.00086659,0.00086659
99,25021.9,2.50873,2.40082,1.5473,0.99552,0.42719,0.43274,0.40499,0.20576,0.39621,0.40862,0.38027,0.18695,2.42339,2.52595,1.59172,1.00749,0.000858338,0.000858338,0.000858338
100,25267.5,2.54462,2.43499,1.54406,0.99636,0.51106,0.3865,0.39976,0.19971,0.47786,0.36562,0.38002,0.18122,2.42029,2.51722,1.57549,1.00181,0.000850087,0.000850087,0.000850087
101,25522.3,2.5322,2.42119,1.53543,0.99446,0.44155,0.41167,0.39733,0.19681,0.4252,0.37245,0.36842,0.18086,2.41574,2.50317,1.57259,0.99442,0.000841835,0.000841835,0.000841835
102,25774.4,2.52135,2.41806,1.52722,0.99219,0.47155,0.42297,0.4187,0.21069,0.41748,0.39921,0.38985,0.19086,2.40457,2.53441,1.54848,1.00297,0.000833583,0.000833583,0.000833583
103,26024.8,2.50401,2.37818,1.52217,0.99226,0.42969,0.41392,0.39872,0.20659,0.3929,0.39331,0.37659,0.18586,2.40472,2.52332,1.57681,0.9996,0.000825332,0.000825332,0.000825332
104,26273.2,2.52264,2.42624,1.541,0.99192,0.44776,0.41678,0.41238,0.20751,0.42344,0.37854,0.38257,0.18487,2.3995,2.49821,1.5523,0.99457,0.00081708,0.00081708,0.00081708
105,26521.6,2.5075,2.4245,1.53451,0.99279,0.5037,0.39254,0.40399,0.20033,0.4696,0.35891,0.37289,0.18109,2.40704,2.48868,1.55959,0.99009,0.000808828,0.000808828,0.000808828
106,26779.4,2.51339,2.40166,1.53843,0.99198,0.46912,0.417,0.4123,0.20942,0.42685,0.38625,0.38378,0.18712,2.38304,2.50353,1.56477,0.99773,0.000800577,0.000800577,0.000800577
107,27037.6,2.51633,2.42276,1.52514,0.99349,0.45131,0.41733,0.39912,0.20184,0.41369,0.39083,0.37962,0.18415,2.40293,2.53573,1.5667,0.99852,0.000792325,0.000792325,0.000792325
108,27288.5,2.5039,2.39047,1.51963,0.99182,0.45054,0.40778,0.39941,0.19581,0.41414,0.37577,0.36894,0.17705,2.40684,2.49968,1.5681,0.99498,0.000784073,0.000784073,0.000784073
109,27543.7,2.52405,2.41736,1.52727,0.99111,0.44833,0.4185,0.41069,0.20691,0.41567,0.38814,0.38976,0.19066,2.39707,2.48738,1.54684,0.99542,0.000775822,0.000775822,0.000775822
110,27796.9,2.48784,2.37053,1.50827,0.98844,0.47188,0.41298,0.41507,0.21083,0.43821,0.39073,0.39209,0.18561,2.40292,2.50257,1.55313,0.9899,0.00076757,0.00076757,0.00076757
111,28044.7,2.50132,2.39405,1.51284,0.98626,0.47798,0.41916,0.41131,0.20389,0.42733,0.38555,0.37764,0.18373,2.40589,2.50771,1.55246,0.99506,0.000759318,0.000759318,0.000759318
112,28295.9,2.49831,2.38476,1.51093,0.99243,0.45886,0.39762,0.39329,0.19559,0.44553,0.35802,0.3695,0.17365,2.38901,2.49113,1.57705,0.99239,0.000751067,0.000751067,0.000751067
113,28550.9,2.49431,2.38216,1.51738,0.99166,0.46701,0.41612,0.40452,0.19833,0.43106,0.39067,0.37979,0.18214,2.40561,2.52751,1.56719,0.99797,0.000742815,0.000742815,0.000742815
114,28804.3,2.50167,2.39945,1.52484,0.98678,0.45834,0.41884,0.4116,0.21009,0.40825,0.3989,0.3848,0.19104,2.3898,2.49831,1.54401,0.98999,0.000734564,0.000734564,0.000734564
115,29059.2,2.49169,2.37762,1.51729,0.9876,0.51214,0.37567,0.40426,0.20195,0.47143,0.35024,0.37759,0.1875,2.39736,2.51042,1.56666,1.00294,0.000726312,0.000726312,0.000726312
116,29308.4,2.50829,2.40545,1.51567,0.98742,0.44808,0.41647,0.3947,0.19363,0.42634,0.38696,0.3748,0.18051,2.39651,2.5147,1.58397,0.99956,0.00071806,0.00071806,0.00071806
117,29555.7,2.47093,2.37323,1.51259,0.98556,0.45551,0.43304,0.41638,0.21144,0.42271,0.39453,0.38482,0.19048,2.38088,2.49109,1.55186,0.99119,0.000709809,0.000709809,0.000709809
118,29810.3,2.49333,2.38415,1.50478,0.98483,0.4809,0.42915,0.42293,0.20891,0.42328,0.39215,0.38776,0.18588,2.40521,2.52964,1.56748,0.99979,0.000701557,0.000701557,0.000701557
119,30057.8,2.49358,2.38113,1.51604,0.98867,0.47202,0.42659,0.42216,0.20502,0.41944,0.39531,0.38141,0.18257,2.39013,2.49642,1.56549,0.98986,0.000693305,0.000693305,0.000693305
120,30313.2,2.48877,2.36286,1.49888,0.9851,0.45159,0.41513,0.40212,0.20158,0.41713,0.38196,0.3758,0.17982,2.38106,2.49334,1.55814,0.98902,0.000685054,0.000685054,0.000685054
121,30559.5,2.48108,2.36046,1.51002,0.98941,0.48483,0.43049,0.41884,0.20304,0.45838,0.40682,0.39708,0.18552,2.39958,2.51325,1.5661,0.99719,0.000676802,0.000676802,0.000676802
122,30808.8,2.48858,2.39067,1.49934,0.98295,0.47614,0.42278,0.42207,0.20785,0.44295,0.38707,0.38552,0.18844,2.38378,2.49494,1.56241,0.99054,0.00066855,0.00066855,0.00066855
123,31061.4,2.46504,2.35465,1.48911,0.98763,0.51264,0.41206,0.41944,0.2117,0.47069,0.38079,0.38539,0.18686,2.39757,2.50447,1.56504,0.9965,0.000660299,0.000660299,0.000660299
124,31309.7,2.47979,2.37404,1.49438,0.98649,0.48048,0.41402,0.40797,0.2064,0.44078,0.41066,0.39054,0.19035,2.40033,2.53417,1.57566,0.9982,0.000652047,0.000652047,0.000652047
125,31565.8,2.49711,2.3879,1.50485,0.9834,0.47524,0.42841,0.42125,0.21299,0.43206,0.40292,0.39553,0.19133,2.39394,2.50076,1.56349,0.99609,0.000643795,0.000643795,0.000643795
